"%1$s has been updated in your wishlist.","%1$s has been updated in your wish list."
"%s has been moved to wishlist %s","%s has been moved to wish list %s"
"%s's Wishlist","%s's Wish List"
"Add to Wishlist","Add to Wish List"
"An error occurred while adding item to wishlist.","An error occurred while adding item to wish list."
"An error occurred while adding item to wishlist: %s","An error occurred while adding item to wish list: %s"
"An error occurred while deleting the item from wishlist.","An error occurred while deleting the item from wish list."
"An error occurred while deleting the item from wishlist: %s","An error occurred while deleting the item from wish list: %s"
"An error occurred while updating wishlist.","An error occurred while updating wish list."
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wish list?"
"Are you sure you would like to remove this item from the wishlist?","Are you sure you would like to remove this item from the wish list?"
"Can\'t delete item from wishlist","Can\'t delete item from wish list"
"Can\'t update wishlist","Can\'t update wish list"
"Cannot add the selected product to shopping cart because the product was removed from the wishlist","Cannot add the selected product to shopping cart because the product was removed from the wish list"
"Cannot load wishlist item","Cannot load wish list item"
"Cannot move item to wishlist","Cannot move item to wish list"
"Cannot specify wishlist item.","Cannot specify wish list item."
"Cannot specify wishlist.","Cannot specify wish list."
"Cannot update wishlist","Cannot update wish list"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Check this checkbox if you want to add a link to an rss feed to your wish list."
"Configure Wishlist Item","Configure Wish List Item"
"Could not find such wishlist","Could not find such wish list"
"Could not find wishlist","Could not find wish list"
"Customer My Account My Wishlist","Customer My Account My Wish List"
"Customer My Account Wishlist Sharing Form","Customer My Account Wish List Sharing Form"
"Customer Shared Wishlist View","Customer Shared Wish List View"
"Days in Wishlist","Days in Wish List"
"Discount Code","Gift Certificate / Discount Code"
"Display Wishlist Summary","Display Wish List Summary"
"Go to Wishlist","Go to Wish List"
"Helper for wishlist options rendering doesn't implement required interface.","Helper for wish list options rendering doesn't implement required interface."
"My Wishlist Link","My Wish List Link"
"RSS link to %s's wishlist","RSS link to %s's wish list"
"Requested wishlist doesn't exist","Requested wish list doesn't exist"
"Share Wishlist","Share Wish List"
"Share Your Wishlist","Share Your Wish List"
"This Wishlist has no Items","This Wish List has no Items"
"Update Wishlist","Update Wish List"
"Wishlist","Wish List"
"Wishlist Section","Wish List Section"
"Wishlist Sharing","Wish List Sharing"
"Wishlist could not be created.","Wish list could not be created."
"Wishlist is empty now.","Wish list is empty now."
"You have no items in your wishlist.","You have no items in your wish list."
"Your Wishlist has been shared.","Your Wish List has been shared."
"Mage_Checkout::%s was added to your shopping cart.","%s was added to your shopping cart."
"Mage_Checkout::Shopping Cart","Shopping Cart"
"Mage_Wishlist::Add to Cart","Add to Cart"
"Mage_Wishlist::Share Wishlist","Share"
"Mage_Wishlist::Add All to Cart","Add All to Cart"
"Mage_Wishlist::Update Wishlist","Update Wishlist"
