Winner(s) details,Winner(s) details
How many winner(s) do you want to draw ?,How many winner(s) do you want to draw ?
Draw Winner(s),Draw Winner(s)
General Information,General Information
Refer A Friend,Refer A Friend
Give Away,Give Away
Display Facebook Sharer,Display Facebook Sharer
Contest Picture,Contest Picture
Frontend Contest Picture,Frontend Contest Picture
Recommended image size: 960px wide x 270px high for a Refer A Friend contest (<a target="_blank" href="%s">example</a>) or 354px wide x 658px high for a Give Away contest (<a target="_blank" href="%s">example</a>).,Recommended image size: 960px wide x 270px high for a Refer A Friend contest (<a target="_blank" href="%s">example</a>) or 354px wide x 658px high for a Give Away contest (<a target="_blank" href="%s">example</a>).
Competition Configuration,Competition Configuration
Is A Competition Contest ?,Is A Competition Contest ?
Competition Text,Competition Text
Do not include the word count in this field as it will be automatically added. E.g.: "Tell us why you want to win",Do not include the word count in this field as it will be automatically added. E.g.: "Tell us why you want to win"
Maximum Word Count,Maximum Word Count
Terms &amp; Conditions,Terms &amp; Conditions
Terms & Conditions,Terms & Conditions
Referrer #,Referrer #
Competition,Competition
Entry Date,Entry Date
Winner(s),Winner(s)
Contest Winner(s),Contest Winner(s)
Contest Information,Contest Information
Drawing Winner(s),Drawing Winner(s)
Save Contest,Save Contest
Delete Contest,Delete Contest
It seems like %s winners have been drawn for this contest, are you sure you want draw new winners ?,It seems like %s winners have been drawn for this contest, are you sure you want draw new winners ?
Editing Contest,Editing Contest
Add Contest,Add Contest
Contest #,Contest #
Referee #,Referee #
Referee Email,Referee Email
Contest Title,Contest Title
Referrer Email,Referrer Email
Winner,Winner
Contests Manager,Contests Manager
Referees List,Referees List
Referrers List,Referrers List
There was a problem loading the terms and conditions,There was a problem loading the terms and conditions
Exception caught in %s under % with message: %s,Exception caught in %s under % with message: %s
There was a problem loading the contest,There was a problem loading the contest
Contest Module: Sender email not recognised.,Contest Module: Sender email not recognised.
Contest Module: Sender name not recognised.,Contest Module: Sender name not recognised.
Contest Module: Template ID is not numeric.,Contest Module: Template ID is not numeric.
You must agree to the terms and conditions before you enter this contest.,You must agree to the terms and conditions before you enter this contest.
Incorrect CAPTCHA.,Incorrect CAPTCHA.
Please enter your full name,Please enter your full name
This email address has already entered this contest,This email address has already entered this contest
