"Send email after","Envoyer un mail au bout de"
"Consider only orders after","Consid&eacute;rer uniquement les commandes pass&eacute;es apr&egrave;s le"
"Run now","Executer"
"Notification date","Date de notification"
"Send","Envoyer"
"Write your reviews for order #%s","Evaluez les produits de votre commande no %s"
"Summary","R&eacute;sum&eacute;"
"Reviews have been submitted","Vos &eacute;valuations ont &eacute;t&eacute; envoy&eacute;es"
"Please fill all fields","Veuillez remplir tous les champs"
"Please fill all notes","Veuillez saisir toutes les notes"
